,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
3,32.76809823,34.12825712,34.41398372,1.549134172,52.31390488,49.62172258,11.46142677,19.40068416,100,74.64970564,60.37020419,35.55870504,77.50592285,0,100,0,39.78626524,0,5.066384864,37.54683176,81.73963197,58.84346752,81.87904447,28.8436056,47.8318174,1.42E-15,28.51612976,38.88542187,44.20481891,11.33665896,22.47411324,81.92794302,28.84360559,11.33665896,14.39134492,47.24564397,71.75811679,49.1277505,30.06636345,45.74163463,48.69556892,19.52540572,33.08296313,68.39758344,19.78698685,1.13E-15,84.26320831,33.01053336,22.47411321,44.35798934,29.12477174,30.42605784,34.57004571,25.10491752,80.37302136,28.50557481,82.60272124,63.18777344,23.6689939,38.9557924,19.93375237,68.48068387,7.616506723,48.77488707,65.30434433,23.25294019,28.51612976,86.64156713,99.95526263,100,49.92016276,19.78698685,73.41067661,72.80296996,62.24551377,96.29311326,32.68172277,45.11872702,60.40151765,90.79714571,10.90432886,47.46029878,75.32540752,66.43298395,16.35943511,58.68560127,28.84360559,38.11794555,22.47411321,85.0505689
4,61.41376382,61.08101565,55.97968178,0.01522567904,0,72.32430398,22.12450775,57.51315771,79.65465917,51.57086892,41.36050393,18.08990386,0,23.02914742,55.04469546,5.58E+01,84.57447346,39.90987052,14.34274885,70.67793555,85.23497881,100,64.41814252,42.99110845,72.07682825,14.7234827,43.05681205,57.94061338,16.002543,55.49016855,44.50983152,81.69744413,85.2765173,44.50983148,57.53086332,55.19985769,0.9594350884,50.8722495,89.45807292,51.32270592,48.96493934,38.63988809,33.19304446,71.73540421,21.88661605,72.51986264,82.41958484,49.19055912,33.51530717,40.25031908,29.12477174,96.87272448,65.84327421,51.95830287,80.5877939,70.87522826,86.53767614,65.32667598,0,58.85167877,23.98229252,79.68297408,0.0005433202612,100,16.67329809,69.06747469,43.05681205,45.46460644,100,91.20015251,55.83647614,23.64851446,52.00110146,78.04788651,95.42973577,39.8193675,48.70556183,0,90.35642307,99.93384861,19.95850962,0,91.2826572,87.51167153,32.03986046,88.24939131,57.07708886,57.22456323,33.51530719,99.84197219
5,69.43251758,74.38186605,70.97183835,45.21878838,75.87519421,96.02031907,16.32526615,59.46850656,21.2116626,74.99748981,81.24210711,54.43729083,81.5179989,1.90E+00,86.4320626,55.58676045,0,52.01661362,14.10574127,88.79428288,88.26167348,96.43811511,64.95548267,85.2765173,74.70829935,42.92291115,43.05681205,76.9594556,83.44806212,77.52588679,55.49016856,86.29983278,42.99110844,66.48469281,43.05681206,100,100,50.98223977,95.0414919,100,46.46537251,76.45367442,67.40307518,82.86882039,23.98624525,24.91829824,0,65.30434433,44.50983144,0,29.12477174,94.86100107,97.4212638,27.91310434,85.27876121,70.87522826,89.68212867,100,40.40849838,58.85167877,24.09855989,89.01410264,0,59.00694791,49.19055912,69.7467256,43.05681205,87.76136927,99.65595286,99.50730074,47.00565856,23.98624525,7.58E+01,82.56421539,97.7407222,78.56501483,64.68943018,51.64459317,95.17884167,96.85317405,0,100,91.28850357,82.22448203,44.25112769,94.17018367,42.99110845,57.56115039,44.50983146,99.90518331
6,74.31838367,71.46142905,66.95301412,0,51.88370344,0,6.093502325,59.39449786,76.23938911,28.11475547,22.1000969,18.10360608,46.37725397,61.10884063,87.02627243,100,95.6690227,100,14.58597284,54.48700192,85.94829212,66.96578464,64.75283771,57.07708886,71.91091459,71.1563944,57.53086333,98.16743126,42.83190463,33.51530723,33.51530722,93.14947688,100,33.51530719,43.05681206,55.84632666,0,32.61318094,95.07732291,58.25231662,53.2836023,95.74882177,35.049069,77.48022479,23.64851446,48.73321404,40.00855447,98.11921371,66.48469276,40.03055053,57.52306165,92.50902826,100,24.93836318,85.67924427,85.56900544,92.53491605,67.37910163,52.63659418,79.48459151,21.95802245,84.43249178,0.2225196653,51.98417745,98.00766375,71.49627033,71.51478811,34.22119287,24.23508019,14.59850281,52.68662409,20.12471764,25.65470796,99.13736862,93.15639958,0.3843791796,82.92214795,41.19229281,92.89430655,86.6059137,15.44718718,24.45752864,95.52886066,100,0.83137022,91.95735979,71.15190679,59.31708262,88.66334104,95.18015171
7,87.04230265,81.48170566,83.76783447,62.12427836,75.60792004,49.44413945,0,59.32048915,77.41156841,98.66402359,0,4.406504869,98.47181052,1.90E+00,55.05309511,55.61371151,99.31973088,62.08043098,100,87.08182382,88.60920733,56.55616601,98.41199935,71.15190679,100,28.84809321,100,98.0923891,69.41723553,44.5098315,100,100,100,22.47411322,43.05681206,47.24673029,47.4440494,49.01776023,100,48.175393,48.61633634,96.09072827,34.93898767,91.15230789,61.81156234,99.83081017,54.32454195,81.43591807,88.66334104,55.36945446,43.59308813,92.44267569,2.967255071,75.45620634,94.46542908,42.47693835,86.65584741,31.31039561,96.69782184,79.48459151,43.21256488,88.87262651,4.643511798,48.85127265,81.43591807,75.51707575,57.53086333,50.79620202,74.28235695,91.69285176,100,43.06651178,100,77.69066837,99.6139613,41.68179332,100,58.81069213,97.4859929,99.05135787,29.67690702,0.8402598049,91.22802627,78.4232554,100,96.93700564,100,100,55.49016849,100
8,99.45255397,92.18896589,100,100,76.08991306,74.16992372,7.17985815,61.275838,18.32817097,97.77382538,41.75129157,100,64.19389088,100,87.02655955,69.09761931,88.09476725,79.70135422,5.127238238,71.44291428,99.74428347,55.58857679,81.64361879,100,100,85.43789175,85.61357223,100,40.03429696,88.66334104,77.52588683,96.46457504,71.15190679,88.66334104,85.61357222,47.59030046,48.40148168,83.54463879,89.88515023,53.96607533,76.66549172,97.87441088,83.53886798,93.74303128,80.70589658,96.97818775,100,100,100,100,85.60183391,97.31618026,0,100,100,56.40691186,96.11024094,65.24019909,67.8940898,79.48459151,80.75454448,100,68.82976501,42.67226049,100,76.19632667,100,59.881841,95.64757402,0.4490074513,52.68865373,100,75.80405145,87.61389782,97.793221,80.53998222,81.17100756,48.57470747,100,90.91640254,19.95850962,48.88672907,95.75499139,71.99841544,0,100,85.27651731,80.71196729,66.48469276,90.77117573
9,100,100,95.12213341,45.02327732,100,74.74268911,33.36749844,80.54451364,18.66020999,0,26.37265398,18.64369537,64.01104365,80.34933315,70.47826538,16.33611351,91.84716993,27.21407281,9.736727035,87.89037624,100,31.19689772,100,100,100,100,43.05681205,98.01734695,97.51082203,100,88.66334109,93.22153901,57.07708885,100,100,100,47.85422343,100,97.53047392,48.59327325,100,99.65809349,100,93.94075978,100,100,54.04404383,99.88845004,55.49016847,59.73725526,100,90.28814798,96.4215367,100,84.93348483,100,96.22420515,65.28343754,35.9070469,100,100,93.09229748,0.2142730454,41.28413757,98.11921371,100,85.61357223,60.78519668,0,0,52.83433371,80.70589657,76.0276533,100,99.99912567,0,81.06059855,45.00317354,94.95201238,96.91534396,19.95850962,48.54656617,100,97.73245685,58.9858013,99.1678895,100,61.07301485,100,90.23388116
10,96.88666398,90.63644342,93.69537611,60.34577025,52.98192746,23.93495376,100,100,58.67381327,100,78.94024862,0,100,3.800146376,39.54983185,41.91069869,100,41.26449169,19.46932383,100,95.09924389,33.61131373,62.59900017,100,74.87421302,57.00889156,71.51478811,96.18477821,100,66.48469282,66.48469285,96.55840546,100,55.49016851,71.5147881,100,26.24068996,67.38681906,97.4594755,51.39222959,52.95016807,100,51.39174328,100,43.06651178,97.14737758,82.26107782,98.00766375,77.52588673,59.98441842,71.49442519,100,34.03262778,100,85.06926373,70.87522826,100,63.10355749,99.98743373,58.85167877,61.90822647,79.99116956,4.731625345,55.21032009,99.88845004,73.76753103,43.05681205,100,24.51583859,20.93658369,55.77696182,61.81156234,0,82.1781085,100,100,83.03255696,55.01019919,95.38779185,100,100,24.44630044,91.39299547,87.63791396,70.60281772,88.45956095,100,61.409602,77.52588673,99.90518331
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,questionable,,17,,?,?,,,?,?,?,?,?,,?,,,,,?,,,?,,,,,,,,,,,,,,?,,,,,,,,,,,,,,,,?,,,,,,,,,,,,,,,,?,,,,?,,,?,,,,,,?,,,?,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,also gives me the wrong worker id,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall adjusted = all subjects but with questionables thrown out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-33 acquired from England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81-87 from MTurkAbstract3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
