,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
filename,overall adjusted,overall,1572060014612,1572060031533,1572060032111,1572060041228,1572060067253,1572060071657,1572060084143,1572060088657,1572060112059,1572060115709,1572060123913,1572060131524,1572060151445,1572060161540,1572060166524,1572060170316,1572060184421,1572060188663,1572060195702,1572060198371,1572060205365,1572060218972,1572060219488,1572060227719,1572060234124,1572060238201,1572060241942,1572060244758,1572060251659,1572060258585,1572060262581,1572060265128,1572060269506,1572060273490,1572060275460,1572060303371,1572060311569,1572060320511,1572060323393,1572060347383,1572060421488,1572060432206,1572060436742,1572060438393,1572060443137,1572060476491,1572060489029,1572060493938,1572060499658,1572060505857,1572060515539,1572060543253,1572060572567,1572060585339,1572060590726,1572060663551,1572060674939,1572060688348,1572060712571,1572060724574,1572060737458,1572060740325,1572060785412,1572060805754,1572060886262,1572060897338,1572060981749,1572061178219,1572061228086,1572061269156,1572061338021,1572061498730,1572062017620,1572062553229,1572062655316,1572063064899,1572063333288,1572063854095
MTurkID,,,A36P1ZQ0GYF567,A1D6CUN4HL57KY,A35J0Z5315SEBK,A18WFPSLFV4FKY,A2UTHXLZL8TNBK,A247ELKNN5MJFJ,A1G1OO4IWM8EP5,AG3ISFZMFGDQ9,A3BJZIRRQVSOT7,A2SL8R5B6QX4Q0,A1FYFBIFYWTMJS,A2XLD73DLFU01Q,A238OD6LO49BQB,AFG6PM2TIT1EN,A1WZNG57DMX55Z,A1WCERM9B49HOT,A4LIJVRU6DG61,A1V4BLIC5U5HPX,A21U899S9P4XSC,A1RWXE4FE0N6SS,A2H11PFO6KPPPV,AL4A0AKTQGE4A,A5X1KZ9CCHREK,A1GKD3NG1NNHRP,A2ZSQLANLQ7OC6,A37ASLK3V0A9QU,A3774HPOUKYTX7,A3KB2DY7SADI3Z,A1A3S0HSZZGZ43,A3ER6R66WYYS9R,A13QHXMU0OMNAY,A38CJGMJRTWE87,A37J4P6DFUQ2EV,A2ELH6CUC5Y8J4,A2JSIDRTDGDC7T,AHUGUDOPVRY7W,A3HQ79XXFXL57N,A1TJPHC41OTJ1T,A1QBNMJNG3NYYY,ABVPW8753ZBJO,AF18OIZ0GWGP2,AD6AOGBAJ8LV4,A136K9Y7E4C3G,A20SYRT4FRY8HF,A1MHQSP1POQNXX,AZFHBOI9IHMK4,A17MKHO0INIV0D,AR8MBYZTSVNDR,A2WT7RE3TSKGZR,A3VWU0WEB2VD48,A119XB4OETWU59,AEY67OL8UKB,A2RGDYBSWA09Q,A1L1S0IAPZB4MO,A1XLQVD1R2V8CL,A2KJHQCS6HAV7B,A13LKWKNDRONU7,A3PIJN4LHKKNPH,A7PG82BD02RAG,A18N52TC9HMDSZ,A3SLY0SJLJZ0J1,A3PXCRGJZE1QC3,A3FL2QW4MDY1EP,A8WLCSZLNZ8BL,AYYSG3O9FNU15,AFRSASN33QBC3,A3W1M37EJKYIZI,A11Q8U6QTT8KGF,A3IX3XVGPJH2I7,AA9SBG7LNCG8Q,A9EVF0SO2IUJ0,A8EEMNO76XFSQ,A3FI3B2Y2R278B,A1O4RSKKMOBB4U,A159LFRJ2JUSHD,AC8ETQXPDRR6P,ASVP3M0AQ1HG4,AAA9J279EF3M1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.97140802,-0.86739793,-24.22785701,-2.448467602,0.4343203945,-0.592147413,-11.61535783,-9.59E-06,-24.70697439,-31.61511357,0.4058722731,25.51647407,-23.64579702,-1.217516809,-44.44382775,-29.93326142,-25.23026434,-1.394870534,-38.11416235,-38.11416235,-31.81125163,-6.294777506,-19.21356341,-1.895298041,-12.70253646,-13.07018585,-11.56330595,11.87887959,0.9362491136,0.0001419407126,-2.061123974,-37.94477895,38.11416235,-36.64173649,-12.55288797,-29.67401626,-0.4048013026,-28.76393654,-1.046674293,-0.0003221581539,-31.81125163,2.426927795,-44.44382772,0.3329499612,-12.21918634,-7.959472335,-36.48117712,-31.61511356,0.5425049414,-5.992982773,-24.08373572,-38.11416232,-6.181192074,-24.71214213,-31.8112516,0.3172236348,-1.043851521,-7.932759695,0.2872693672,-18.01616355,-0.7789189324,-23.63298176,0.3492561272,-12.97314115,-12.60734257,-0.2626356646,-23.86362843,-31.61511357,0.03544896536,-6.002731059,19.01742538,-30.24031693,-6.794842974,0.323598428,-6.031644619,-11.88978628,-1.796332651,-44.44382775,-11.63124749,-12.88389798
3,-0.29811889,-0.28187537,12.08186536,-1.187616572,-5.854739577,-1.229780181,1.269815626,0.2351832512,-17.48666127,-12.59768822,0.03608409655,-18.92735362,-17.73931198,-0.622339917,6.384849224,-17.73931198,-18.90059895,-1.264034339,-6.302910722,-6.302910722,-18.92735362,-25.31220285,31.61511359,-1.886346338,-1.462198126,-0.6171833305,5.746087665,-7.004922244,0.006253620096,0.540280811,-2.221287428,12.88389793,19.21356341,-17.81090934,-6.593743926,-17.73931198,1.284712496,1.174385666,-0.3973351532,-0.263100736,-6.294777506,1.979818673,-37.94477896,-0.3211945371,-5.99162927,-0.5346833384,6.430512638,19.21356332,0.2603108671,1.174385666,-11.88978628,12.71451462,5.800773622,-6.056234675,-25.31220285,-0.2945492345,-1.075887967,-7.415570728,0.594704079,-0.04033571039,-0.4465245693,12.90000624,-1.026194685,-6.138609862,-1.340830964,0.002336981305,-2.91E-16,19.21356332,-6.042188509,-17.97061497,-18.92735362,-23.98307489,-0.7204153298,0.3011457661,5.912434678,-11.88978628,-1.755617591,-12.63257611,-5.759944043,-6.384849224
4,-0.44375945,-0.41047886,-5.986313883,-1.198722814,0.3960479163,-0.8872616291,0.6526322958,-1.361808496,-18.79192586,-18.90059895,-1.070103763,-12.59768822,-6.057589747,-1.985989615,-12.63257611,-23.89129757,-31.6151136,-0.8326254284,-25.23026434,-25.23026434,12.63257611,-18.92735362,6.302910718,-1.47557185,-1.030293986,0.03544896528,-11.52785699,-1.071673414,-0.6894942744,-0.04489174541,-1.099172605,-12.63257611,12.88389802,-23.8394847,0.04033571017,-6.057589747,1.299562519,-22.89830268,0.8802173209,-0.5414246458,-18.92735362,1.586426864,-25.23026434,-0.3211945371,-12.21918634,-2.349366442,-12.21918634,-6.302910722,0.5023394458,-11.87887959,-11.88978628,-6.302910722,-5.684594172,-6.736314295,6.302910718,0.3222211849,-0.7097850019,-5.726282563,-5.74E-05,-6.056234677,0.7789189315,-11.69337191,-0.03294793392,-6.642727547,-1.315745415,-0.01992161096,-6.065754204,-12.59768822,12.83312158,-30.05248032,-12.59768822,-30.24031693,-0.04033571038,6.458451912,11.77926472,-18.04177187,0.5890652304,-31.55992973,7.125229406,25.23026433
5,-0.66537046,-0.61391476,-24.22785701,-7.737682997,-0.02045627292,-0.3259039433,-17.48666127,-0.6357333461,-17.52211023,-25.23026434,-0.6940671842,-25.31220288,-11.88978628,-2.304219378,-31.55992973,-17.73931198,-38.11416231,0.443377304,-31.6151136,-31.6151136,6.302910718,-31.81125155,18.90059894,5.543984796,-0.1332234256,-7.184864153,-18.87531009,5.992982772,-0.3065482717,-6.98620553,-0.6732513867,-44.44382766,44.44382775,-30.59399196,-6.593743926,1.67E-16,0.7016145067,-17.15611445,-1.359245631,-0.2620204696,12.63257611,0.8399392001,-31.55992974,-11.47867653,-12.21918634,-1.371715551,-24.2216228,-25.23026434,0.5395011839,-0.1027122522,-11.88978628,-31.61511356,-7.193465118,-18.67762038,25.51647405,-0.5910339012,5.587860151,-6.915457428,-0.01393644297,0.639743909,12.03641055,-17.60278785,-6.77827835,-7.173011972,-7.040020711,-0.2626345294,-17.8345953,-38.11416228,0.6526322959,-36.24114085,-25.31220287,-17.98034383,-12.8425875,-0.3534643813,18.44758399,-11.88978628,-2.262324018,-25.23026434,13.0757269,37.94477898
6,0.08489504,0.06236836,-17.97061496,-1.948521738,12.36453374,-1.243801133,0.03544896528,0.7186989608,-18.13929356,19.21356332,0.354451697,19.01742537,1.21E-16,-2.016960285,-25.23026434,11.93470429,19.21356333,1.23831674,-12.59768823,-12.59768823,-12.59768822,19.01742538,38.11416235,-0.5500296736,0.5176367758,17.52211023,-12.79767261,-0.535836707,0.3583818255,11.74455954,11.32225903,-31.55992973,50.82867697,-24.47922861,11.49970379,12.19394944,0.6982417027,-11.46975609,1.408442899,-0.007573242456,6.302910718,0.5042669516,-6.329665395,-0.3211945371,12.00243645,-1.396778005,-30.2918751,-18.90059895,-0.01891591062,12.76549585,-5.832196535,-18.90059895,-6.665132154,-6.695978584,12.63257611,-0.02118172296,-0.3649317403,11.29523259,-0.2896296358,12.62138571,6.429542233,6.701292306,-0.3882440473,-6.624638544,-0.5472159995,0.2718658205,6.093677782,-18.90059895,7.132967821,6.257242052,-6.294777506,-11.99877382,-0.6800796194,-0.3753062533,24.56234734,11.75601074,0.6198231645,-18.92735362,7.160678371,31.55992973
7,0.34287623,0.3209388,18.27052588,-0.8221175526,1.296964215,-0.01245105429,1.305264592,-1.055910461,-5.871303444,6.329665395,5.847800465,6.302910718,6.151985591,-0.8665751411,12.88389798,5.906485047,6.329665395,1.272888651,12.71451462,19.21356332,19.01742534,6.302910718,12.59768821,-0.1902890997,-0.01794837116,11.65080679,11.61386908,-1.174385666,1.605942397,6.149058974,0.04045315547,6.384849224,6.499048756,-11.9440793,-0.6397439089,6.151985591,2.02198635,1.277097918,0.008275214287,0.2743764703,-25.31220288,1.213394602,12.88389793,0.01840722223,24.26199077,5.460359751,-9.87E-16,6.329665395,-0.2823608035,1.071673414,17.78422998,19.21356337,6.36E-16,5.925407124,-6.294777506,0.9856011474,0.05735566741,-6.313373575,0.3098902256,0.6800796194,0.4465245695,6.021212686,0.3712337312,-5.606959763,-0.9276479708,-0.2642879948,12.01306216,12.71451462,1.269815626,6.257242052,6.302910718,12.25806595,23.79914898,1.013662458,17.76750437,5.849525695,-0.8846432484,6.384849224,5.890862745,6.329665395
8,0.19472509,0.14311589,6.012459933,-0.4701612619,-0.008815059894,-0.6018293779,13.10563481,-0.682379732,-18.75647689,12.71451462,0.04248314459,12.63257611,3.13E-16,-0.8739636416,-6.329665395,-11.68172223,12.71451462,0.5099725858,19.21356337,6.329665395,-6.294777505,12.63257611,25.23026434,-1.75614166,-1.60757566,5.890862747,-5.700153761,-12.76549586,1.140966317,17.45111663,-1.631726595,-6.329665395,31.81125163,-6.031644619,-0.6800796191,-23.64579702,0.9927667095,0.102712252,1.091390876,-0.5315451469,19.01742534,1.548340328,-12.63257612,0.008055642317,5.988627174,-0.5510873647,-4.27E-16,12.71451462,-0.279807918,18.63691696,11.75601074,6.329665395,4.03E-16,11.95992887,-18.92735362,-0.6023678843,0.06733563848,5.591011064,-0.6258416637,6.695978587,0.4056910035,6.660956595,-0.3210125944,5.599174979,-0.9369127934,0.00495360736,18.04415596,6.329665395,1.305264592,6.257242052,12.63257611,-6.012459929,17.76750436,0.6379223367,17.80784008,17.78422998,-0.9532406106,-6.329665394,5.85541378,12.63257611
