,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
2,23.23297127,17.05748398,16.45536121,11.33665888,22.47411321,16.45536121,0,11.33665888,16.50616127,47.61717529,16.45536121,41.65344634,22.4741132,66.98946664,11.33665889,19.9374536,21.64673442,11.3366589,29.47667237,0,14.38642777,22.47411319,22.47411326,11.3366589,23.49321086,23.25294019,23.13728119,11.33665889,22.47411326,11.33665891,11.3366589,11.3366589,14.39816608,11.33665888,22.4741132,64.47656043,11.3366589,11.33665891,11.3366589,11.33665889,28.48521189,19.24059591,11.3366589,22.47411322,0,11.33665889,44.50983151,11.33665888,11.33665889,16.46113202,28.84360561,11.33665891,19.29410343,11.33665889,16.46113202,23.48246571,19.45278925,0,33.24955836,32.68172275,11.3366589,71.26967258,14.39816608,11.33665888,84.78902517,11.3366589,4.424798825,28.48521189,16.67329808,33.51530714,32.59692482,23.34902113,11.33665891,11.33665889,11.33665889,11.33665891,24.19582895,16.50616127,11.33665889,14.39816608,30.15890025,33.51530722,27.74654999,51.47777134,11.3366589,38.09177353,11.33665891,16.46113202,20.51812906,14.38642777,11.33665888,14.42334722,21.01720052,11.3366589,41.319839,0,40.90842575,32.61318094,11.3366589,14.38642777,14.38642777,80.46949219,7.467874396,19.9374536,0,11.3366589,23.24693753,11.33665888,0,14.38642777,14.39816608,85.01454339,14.98545661,50.98223976,16.50507075,19.52540572,11.33665891,14.43099456,100,23.13714293,40.01760204,11.33665889,11.33665891,55.65639779,11.33665889,32.61318094
3,55.13950501,52.07795791,50.8722495,33.51530713,33.51530718,49.01776024,28.8480932,44.5098314,81.17100751,23.78161224,50.8722495,53.97994343,44.50983145,1.880786291,55.49016848,5.97E+01,42.57478616,55.49016849,58.3682606,64.68943015,42.46913667,33.51530717,44.50983151,66.48469278,7.43E+01,69.7467256,68.80654788,44.50983143,44.50983151,44.50983144,33.51530714,33.51530715,56.40691186,33.51530713,33.51530718,64.47655813,33.51530715,33.51530716,55.49016849,44.50983144,5.69E+01,61.07301485,33.51530715,55.49016856,0.8162546582,44.50983145,55.49016856,33.51530711,77.52588676,48.60825673,57.07708887,33.51530715,56.93348823,66.48469273,48.60825673,69.29844124,57.41724861,30.05871344,29.88670628,64.68943014,44.50983146,77.75467257,56.40691186,44.5098314,89.74837592,33.51530715,100,42.46913667,49.19055912,55.49016848,48.60825673,69.4469339,33.51530715,55.49016849,44.50983143,33.51530715,75.50628039,48.70556181,44.50983144,56.40691187,64.59918791,66.48469285,27.91310433,53.2651967,55.49016849,75.90144011,33.51530715,48.60825673,40.36798677,5.69E+01,44.50983141,56.53935071,0,44.50983144,59.15349731,100,70.09680295,50.98223976,55.49016853,5.69E+01,5.69E+01,61.09021372,3.10E+01,5.97E+01,2.10E+01,55.49016853,51.13218168,44.50983141,7.09E+01,42.46913667,56.40691186,56.53935071,14.98545661,49.1277505,33.08296313,38.63988809,33.51530715,2.91E+01,83.31571531,69.04062552,59.32722316,66.48469277,33.51530715,51.57950994,44.50983144,50.98223976
4,35.09584076,28.76415217,32.61318094,22.47411314,11.3366589,32.61318094,0,22.47411314,32.68172275,70.0923267,32.61318094,40.98866674,11.33665889,34.69565567,22.47411315,39.48786053,21.64673442,22.47411317,87.79618776,32.68172275,28.48521189,11.33665888,33.51530723,22.47411316,46.52631952,46.04620816,45.81421234,22.47411316,33.51530723,22.47411317,22.47411316,22.47411317,42.47693835,22.47411314,11.3366589,69.53350052,44.50983144,22.47411318,22.47411317,33.51530713,42.46913667,38.11794556,22.47411317,11.33665891,5.342478106,33.51530714,22.47411323,22.47411314,33.51530713,32.59692482,42.99110846,22.47411317,38.18843766,44.50983141,32.59692482,46.48049802,38.50669907,30.05871344,41.53603337,16.50616127,22.47411317,65.30248182,28.50557481,22.47411314,85.3581606,22.47411317,98.39103784,14.38642777,65.30434433,11.33665889,16.46113202,69.79260033,22.47411317,0,22.47411315,22.47411317,51.47353512,32.68172275,22.47411315,28.50557481,60.03170441,44.50983151,0,75.47352706,22.47411317,19.24545552,22.47411317,32.59692482,20.51812906,28.48521189,22.47411314,28.56926489,39.9144091,22.47411317,48.96118753,34.30168167,0,16.45536121,22.47411317,28.48521189,28.48521189,5.94E+01,19.55822744,39.48786053,0,22.47411318,47.1235866,22.47411314,28.50557481,28.48521189,28.50557481,42.58364957,14.98545661,50.87224949,33.19304446,57.56852506,22.47411317,2.91E+01,4.5242351,45.81244153,23.89184796,22.47411315,22.47411317,45.12037334,33.51530713,49.1277505
5,75.49589454,75.26688878,67.38681906,66.48469278,55.49016852,67.38681906,71.1563944,66.48469274,64.68943014,2.010638501,67.38681906,51.06475998,55.49016848,1.992336246,77.52588676,100,19.7664275,66.48469278,87.95900748,82.92214791,5.69E+01,77.52588677,66.48469282,55.49016849,69.7927288,76.19632667,76.14606347,55.49016848,66.48469282,55.49016849,66.48469279,55.4901685,7.09E+01,66.48469278,77.52588678,64.46182211,55.49016848,66.48469284,66.48469278,66.48469278,71.48387024,57.56115039,77.52588676,66.48469284,20.52845805,55.49016849,100,77.52588671,66.48469278,66.91703687,1.00E+02,66.48469278,76.01375476,55.49016844,64.950931,92.76936233,78.34931092,55.80575685,35.80157124,82.9221479,77.52588682,88.51602005,7.09E+01,55.49016844,94.10967843,77.52588676,71.70879421,85.60865508,98.11921371,77.52588676,66.91703687,74.04513099,77.52588676,66.48469277,77.52588676,77.52588676,51.30766227,81.0605985,77.52588676,85.56900544,69.45340779,100,100,0,66.48469278,78.04197755,77.52588676,65.06101233,6.02E+01,71.48387024,66.48469274,70.50204783,58.77838684,55.49016849,52.56505268,34.30168167,85.31530491,49.1277505,66.48469282,71.48387024,5.69E+01,38.58973704,100,79.78040387,2.10E+01,100,52.8764134,88.66334103,100,56.94318794,7.09E+01,85.01454339,85.57665278,32.61318094,51.39174328,97.87441088,77.52588676,71.49442519,54.79423439,73.74025166,79.08358767,88.66334102,77.52588676,41.92366931,66.48469278,50.87224949
6,0,0,0,0,0,0,0,0,0,100,0,0,0,83.32670191,0,0,0,0,0,16.50616127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4844201014,0,33.51530722,0,0,0,0,0,0,0,0,0,0,11.94585535,0,0,0,0,0,0,80.12783313,0,0,0,0,0,0,0,0,22.47411316,0,0,0,0,0,0,0,0,24.93836317,51.53634949,0,0,0,0,0,0,0,0,40.79553013,0,0,100,58.0016259,0,0,0,0,100,0.3748039614,0,0,0,0,0,14.39816609,0,0,100,0,100,0,0,0,0,53.38381047,0,20.07007313,0,0,59.50476832,0,16.45536121
7,59.28590907,57.81573982,49.01776023,77.52588676,77.52588677,49.12775051,42.92291114,33.51530712,81.0605985,24.41717683,49.1277505,100,66.48469276,100,44.50983142,79.78040387,23.52704135,44.50983143,90.99352566,81.17100752,5.69E+01,44.50983145,11.33665896,77.52588676,75.98378901,69.06747469,100,77.52588675,11.33665896,66.48469277,55.49016848,66.48469278,28.50557481,77.52588676,66.48469281,62.16538711,22.47411316,100,33.51530715,22.47411315,14.38642778,57.22456323,44.50983143,100,15.35865263,22.47411316,11.33665891,66.48469273,22.47411315,64.950931,71.1519068,44.50983144,79.87528236,22.47411314,66.91703687,95.14643851,76.46152703,30.05871344,30.06710912,48.7055618,66.48469283,93.71907619,42.47693835,88.66334103,99.10953553,44.50983143,23.96813764,5.69E+01,33.01053336,22.47411315,66.80695554,46.23771214,44.50983144,44.50983143,55.49016848,66.48469278,48.6768386,81.17100751,33.51530713,42.47693835,62.29764926,77.52588683,75.45620633,98.07370023,33.51530715,80.06624763,44.50983144,66.80695554,20.51812906,42.46913667,88.66334103,42.58364957,39.85364212,33.51530715,41.87864166,100,85.06340194,100,33.51530717,42.46913667,42.46913666,5.94E+01,0,5.97E+01,41.14383301,33.51530717,46.44639843,33.51530712,42.47693835,56.94318794,42.47693835,85.01454339,43.4606493,67.38681906,34.93898767,76.45367442,44.50983144,43.59308813,96.15137098,75.84538755,0,33.51530714,44.50983144,55.5596829,22.47411315,0
8,72.26575768,73.18739442,100,55.49016847,66.4846928,50.8722495,57.00889154,88.66334103,82.9221479,46.56369364,50.98223977,79.85718009,88.66334103,18.56408192,66.48469277,5.97E+01,21.64673442,77.52588676,96.8026621,81.06059851,71.48387024,66.48469279,77.52588679,44.50983143,70.40796433,73.76753103,73.41216605,66.48469277,77.52588679,77.52588676,77.52588677,77.52588676,7.09E+01,55.49016847,55.49016851,100,66.48469277,55.49016852,44.50983143,55.49016848,5.69E+01,80.71196729,66.48469278,44.50983149,10.39879208,66.48469278,77.52588685,100,55.49016848,66.80695554,1.00E+02,55.49016848,78.11338396,33.51530712,66.80695554,99.87082513,78.42357311,69.05460107,38.35358413,81.0605985,55.49016851,100,7.09E+01,66.48469272,94.74181463,66.48469278,24.41484988,5.69E+01,81.43591807,44.50983142,65.06101233,76.25607644,55.49016848,77.52588676,33.51530714,44.50983144,100,82.9221479,55.49016848,7.09E+01,64.59948065,88.6633411,51.95830286,51.43545494,44.50983143,76.01770748,55.49016848,66.91703687,6.02E+01,5.69E+01,33.51530712,8.50E+01,41.52626722,77.52588676,55.33386294,34.30168167,71.42725657,49.01776023,77.52588682,5.69E+01,71.48387024,57.77052551,15.46173365,100,60.51311659,66.48469283,48.86781832,55.49016845,56.40691186,56.94318794,7.09E+01,70.50204783,57.41635042,83.54463879,67.40307519,95.74882177,55.49016848,57.52306165,98.90163655,71.62541063,59.75054451,100,55.49016848,100,55.49016848,49.01776023
9,87.91457461,87.75491993,49.1277505,88.66334102,88.66334103,83.54463879,85.43789174,77.52588672,83.03255691,0,83.54463879,54.36033843,77.52588673,0,88.66334102,100,80.54452267,88.66334102,99.83718028,100,85.60865508,88.66334103,88.66334104,88.66334102,7.43E+01,75.51707575,75.9969309,88.66334102,88.66334104,88.66334102,88.66334103,88.66334102,85.56900544,88.66334102,88.66334103,30.10136848,88.66334102,77.52588682,88.66334102,88.66334102,85.60865508,59.31708262,88.66334102,77.52588683,26.98338817,88.66334102,88.66334111,55.49016845,88.66334102,83.49492926,14.56210826,88.66334102,76.35148555,77.52588671,83.49492926,97.49374895,80.23709481,100,70.94310568,83.03255691,100,88.380214,85.56900544,77.5258867,79.88478106,88.66334102,24.23162056,100,98.00766375,88.66334102,83.49492926,73.8614243,88.66334102,88.66334102,88.66334102,88.66334102,100,83.03255691,88.66334102,7.09E+01,64.76600529,11.33665898,100,52.3487522,88.66334102,80.18251499,88.66334102,83.49492926,80.28690815,85.60865508,77.52588672,8.50E+01,77.87162828,88.66334102,55.67703173,0,100,83.54463879,100,85.60865508,85.60865508,19.47398285,35.07315758,100,80.04670328,77.52588683,76.75306247,77.52588672,7.09E+01,100,85.56900544,28.56926489,71.4307351,16.45536121,83.53886798,100,88.66334102,85.60183391,43.03826193,76.23106491,39.79922991,55.49016848,88.66334102,40.89197236,88.66334102,67.38681906
10,100,100,83.54463879,100,100,100,100,100,100,2.35E+01,100,14.61965452,100,0.1115499554,100,100,100,100,93.89809388,83.03255692,100,100,100,100,100,100,69.19222221,100,100,100,100,100,100,100,100,66.43218081,100,88.66334109,100,100,100,61.40960201,100,88.66334109,100,100,0,44.50983139,100,100,85.27651732,100,100,100,100,100,100,87.81867571,100,100,88.6633411,92.91173413,100,100,0,100,27.47822516,71.48387024,100,100,100,100,100,100,100,100,100,100,100,100,100,22.47411324,100,99.66066536,100,100,100,100,100,100,100,100,76.50242534,100,100,0,98.1222533,67.38681906,88.66334109,100,100,0,31.02702868,100,100,88.6633411,100,100,85.56900544,85.60865507,100,0,100,0,100,99.65809349,100,100,0,100,100,44.50983143,100,0,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
questionable?,12,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?,,?,,,,,,,,,,,,,,,,,?,,,,,,,,,?,,,?,,,,,,?,,,,,,,,,,?,,?,,,,,?,,?,,,?,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reverted?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reverted?,,,,,,reverted?,,,,,,,,,,reverted?,,reverted?,,,,,reverted?,,,,,reverted?,,
1-71 textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72 - 124 textiles 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
