,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
9,0.83718,0.5667504,-0.6800796194,25.31220284,25.31220283,11.94130609,30.05248032,12.63257611,12.54067701,-0.272984124,12.66172142,0.2851069656,25.23026433,-18.37235064,31.61511356,11.87226789,5.750133349,31.61511356,-0.0315082728,18.73939096,12.01306216,19.01742534,19.01742534,31.61511357,-4.24E-16,0.9861767614,1.158373865,31.61511355,19.01742534,31.61511355,25.31220284,25.31220283,6.15198559,25.31220284,25.31220284,-5.510147314,6.384849224,18.92735362,6.384849224,6.384849224,12.01306216,-12.4147163,19.01742534,25.23026434,0.8545853486,6.384849224,12.71451462,-19.01742538,25.31220284,6.754507266,-36.30972236,6.384849224,-1.174385666,-6.384849261,6.754507266,1.213088309,0.5921108861,0.5289911775,5.753161825,0.6800796194,38.11416227,2.01627892,6.15198559,25.23026433,-1.374121477,19.01742534,0.2610360943,18.04415596,-0.6800796194,12.71451462,6.794842977,-0.04503368599,12.71451462,31.61511356,12.71451462,19.01742534,12.52071597,6.701292304,12.71451462,3.49E-16,-0.3180673903,-25.31220284,18.13790266,-0.5496291368,6.384849224,7.132967821,12.71451462,6.794842977,5.992598062,12.01306216,12.63257611,-7.90E-16,-0.3404811171,12.71451462,0.8763441482,-11.78733321,2.294849763,11.9816418,31.81125154,12.01306216,12.01306216,-12.05415406,0.3329634938,11.87226789,17.34053231,18.92735361,5.707428356,6.329665395,2.22E-16,11.95047818,6.15198559,6.070252306,17.99406572,-11.94130609,17.76750437,1.174385666,12.71451462,23.64579702,-0.6542592322,1.809073624,-0.5395131125,-12.63257612,12.71451462,-1.537123558,6.384849224,-5.925407126
10,1.2858195,0.8612308,11.94130609,31.8112516,31.81125159,17.97582784,36.24114084,25.51647412,18.73939096,4.02E-06,18.69624316,-0.7267610142,38.11416234,-18.33201493,38.11416232,11.87226789,11.62064169,38.11416232,-1.18081842,12.54067701,18.04415596,25.51647409,25.51647409,38.11416232,6.237916337,6.991065928,-0.5188783812,38.11416231,25.51647409,38.11416231,31.8112516,31.81125159,12.19394944,31.8112516,31.8112516,1.203232557,12.88389798,25.31220284,12.88389798,12.88389798,18.04415596,-11.77616734,25.51647409,31.61511356,6.150376678,12.88389798,-38.1141623,-25.31220288,31.8112516,12.80225179,-6.257242042,12.88389798,6.017710114,6.499048756,12.80225179,1.839495095,6.556206944,0.1410375848,11.47290404,6.878793572,31.61511356,2.393903641,12.19394944,38.11416234,-6.831252898,25.51647409,0.299857106,6.093677784,0.04033571044,19.21356337,12.8425875,6.34235633,19.21356337,38.11416232,19.21356337,25.51647409,12.52071597,12.90000626,19.21356337,12.19394944,6.180301887,-18.92735362,18.13790266,-0.00391402568,12.88389798,13.17515633,19.21356337,12.8425875,11.87104015,18.04415596,25.51647412,6.430512662,-0.3615485391,19.21356337,6.810980443,-11.78733321,2.250534971,6.056234678,25.31220283,18.04415596,18.04415596,-17.92911945,0,11.87226789,23.20488273,25.31220283,11.4265367,19.2135634,6.15198559,5.919384377,12.19394944,-6.189302013,30.25362005,-17.97582783,23.79914898,1.071673414,19.21356337,29.67401626,-1.696832765,7.667691398,0.3274570399,-18.92735362,19.21356337,-7.05004532,12.88389798,6.034521747
G,219.5,328.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,-2.4264164,-1.5436567,-18.69624317,-25.51647405,-25.51647409,-18.69624317,-6.257242042,-31.81125155,-17.79359706,-0.272984124,-17.97582784,-1.099003231,-19.21356336,-18.37235064,-19.21356332,-17.55200028,-18.55342313,-19.21356333,-19.35163204,-17.79359706,-23.86362843,-31.81125157,-31.81125163,-19.21356333,-18.04980783,-17.53578023,-17.57365844,-19.21356332,-31.81125163,-19.21356333,-25.51647406,-25.51647406,-29.67401626,-25.51647405,-25.51647409,-11.072421,-44.44382765,-25.51647406,-44.44382767,-44.44382767,-23.86362843,-30.51579655,-31.81125156,-19.21356336,-1.102481537,-44.44382767,-38.1141623,-50.82867693,-25.51647405,-23.8394847,-42.49838288,-44.44382766,-24.39475319,-50.82867692,-23.8394847,-23.15428138,-23.6220285,-2.655831618,-8.211726224,-29.65419445,-19.21356332,-5.348700771,-29.67401626,-19.21356332,-6.831252898,-31.81125156,-0.02871154685,-23.86362843,-36.11898886,-38.11416227,-23.79914898,-18.09428509,-38.11416227,-19.21356333,-38.11416226,-31.81125155,-11.79653168,-23.63298177,-38.11416227,-29.67401626,-12.26316253,-31.81125159,-6.079845764,-1.153441226,-44.44382767,-17.31402284,-38.11416227,-23.79914898,-17.9489502,-23.86362843,-31.81125154,-36.4811771,-1.538663221,-38.11416227,-6.578547665,-11.78733321,-0.06514863002,-18.65590746,-25.51647405,-23.86362843,-23.86362843,-17.92911945,-2.55327206,-17.55200028,-6.185500738,-25.51647405,-13.17501926,-38.11416226,-29.67401626,-29.95730621,-29.67401626,-6.189302013,-12.65806973,-17.97582783,-12.8425875,-28.86664879,-38.11416227,-12.19394944,-1.696832765,-16.9805217,-1.112674292,-44.44382766,-38.11416227,-7.05004532,-44.44382767,-30.63754926
max,1.2858195,0.8612308,17.97582784,31.8112516,31.81125159,17.97582784,36.24114084,25.51647412,18.73939096,0.8870922226,18.69624316,1.447173332,38.11416234,17.78697393,38.11416232,11.87226789,11.62064169,38.11416232,0,18.73939096,18.04415596,25.51647409,25.51647409,38.11416232,6.237916337,6.991065928,7.074747861,38.11416231,25.51647409,38.11416231,31.8112516,31.81125159,12.19394944,31.8112516,31.8112516,7.406053447,12.88389798,31.81125156,12.88389798,12.88389798,18.04415596,0,25.51647409,38.11416228,6.150376678,12.88389798,19.21356332,6.499048756,31.8112516,12.80225179,0,12.88389798,6.017710114,6.499048756,12.80225179,1.839495095,6.556206944,0.5289911775,11.47290404,6.878793572,38.11416227,2.984589405,12.19394944,38.11416234,0,25.51647409,1.167030358,18.04415596,0.04033571044,19.21356337,12.8425875,6.34235633,19.21356337,38.11416232,19.21356337,25.51647409,12.52071597,12.90000626,19.21356337,12.19394944,6.180301887,25.51647405,18.13790266,0,12.88389798,13.17515633,19.21356337,12.8425875,11.87104015,18.04415596,25.51647412,6.430512662,0,19.21356337,6.810980443,5.784073894,2.294849763,18.01616355,31.81125154,18.04415596,18.04415596,12.2391591,5.675914456,11.87226789,23.20488273,31.81125153,11.4265367,19.2135634,12.19394944,11.95047818,12.19394944,36.72238776,30.25362005,18.69624317,23.79914898,1.174385666,19.21356337,29.67401626,0.7256013341,7.667691398,0.3274570399,12.88389798,19.21356337,6.431627105,12.88389798,6.034521747
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,65.36266728,64.18831234,50.98223977,44.50983143,44.50983148,50.98223977,14.72348268,55.49016846,48.70556181,23.53156538,49.01776023,43.1628838,33.51530717,50.80944087,33.51530714,59.65144208,61.48798063,33.51530715,100,48.70556181,56.94318795,55.49016851,55.49016855,33.51530715,74.3165877,71.49627032,71.2973416,33.51530714,55.49016855,33.51530716,44.50983144,44.50983145,70.87522826,44.50983143,44.50983147,59.92064458,77.52588676,44.50983148,77.52588676,77.52588676,56.94318795,100,55.49016849,33.51530721,15.20064923,77.52588676,66.48469286,88.66334103,44.50983144,65.06101233,100,77.52588676,80.21301315,88.66334103,65.06101233,92.64018746,78.27504873,83.3902477,41.7164362,81.17100751,33.51530716,64.18474166,70.87522826,33.51530712,100,55.49016849,2.401149173,56.94318795,99.88845004,66.48469278,64.950931,74.04571184,66.48469278,33.51530714,66.48469277,55.49016849,48.51096575,64.68943014,66.48469278,70.87522826,66.49055867,55.49016856,25.10491751,100,77.52588676,56.78743512,66.48469278,64.950931,60.19099936,56.94318795,55.49016846,85.01454336,100,66.48469278,49.13203521,67.08246608,2.76053705,50.87224949,44.50983147,56.94318795,56.94318795,59.43036962,31.02702868,59.65144207,21.04600216,44.50983148,53.55360157,66.48469274,70.87522826,71.48387023,70.87522826,14.42334722,29.49795218,49.01776023,35.049069,96.09072827,66.48469278,29.12477174,70.04660171,68.89149178,77.26200156,77.52588676,66.48469278,52.29355155,77.52588676,83.54463879
